분류명,2015,2016,2017,2018,2019,2020
가물치,0.0036496350364963502,0.002280501710376283,0.003527336860670194,0.003816793893129771,0.0010395010395010396,0.005302226935312832
밀어,0.12408759124087591,0.09578107183580388,0.14991181657848324,0.08396946564885496,0.037422037422037424,0.051961823966065745
붕어,0.4023722627737226,0.35689851767388825,0.14638447971781304,0.2964376590330789,0.2079002079002079,0.1420996818663839
떡붕어,0.008211678832116789,0.02508551881413911,0.007054673721340388,0.020356234096692113,0.002079002079002079,0.009544008483563097
잉어,0.08759124087591241,0.06385404789053592,0.08289241622574955,0.07888040712468193,0.037422037422037424,0.053022269353128315
블루길,0.0009124087591240876,0.03420752565564424,0.02821869488536155,0.013994910941475827,0.006237006237006237,0.02545068928950159
배스,0.032846715328467155,0.05131128848346636,0.042328042328042326,0.054707379134860054,0.029106029106029108,0.0689289501590668
미꾸리,0.0036496350364963502,0.01596351197263398,0.021164021164021163,0.011450381679389313,0.014553014553014554,0.014846235418875928
미꾸라지,0.005474452554744526,0.0011402508551881414,0.001763668430335097,0.006361323155216285,0.0031185031185031187,0.0021208907741251328
얼록동사리,0.01824817518248175,0.037628278221208664,0.059964726631393295,0.04961832061068702,0.037422037422037424,0.05514316012725345
참붕어,0.12682481751824817,0.11402508551881414,0.07054673721340388,0.054707379134860054,0.1496881496881497,0.053022269353128315
돌고기,0.0018248175182481751,0.00798175598631699,0.019400352733686066,0.015267175572519083,0.004158004158004158,0.014846235418875928
각시붕어,0.0072992700729927005,0.005701254275940707,0.09171075837742504,0.020356234096692113,0.008316008316008316,0.014846235418875928
버들치,0.06295620437956205,0.06043329532497149,0.09171075837742504,0.0737913486005089,0.018711018711018712,0.03711558854718982
메기,0.012773722627737226,0.0034207525655644243,0.005291005291005291,0.002544529262086514,0.0010395010395010396,0.006362672322375398
피라미,0.10127737226277372,0.12428734321550741,0.1781305114638448,0.21374045801526717,0.4417879417879418,0.44538706256627786
