id,위도,경도,한글과명,한글보통명,학명,조사연도,조사일자,개체수
30531,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-06-15,2
29467,37.30000736283914,127.02905085139805,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-09-21,5
30993,37.25496111128066,127.0090305550893,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2017,2017-07-14,1
32850,37.2527222222752,126.99458333333334,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2016,2016-04-11,1
30532,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-07-17,5
31383,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-07-17,10
31158,37.25496111128066,127.0090305550893,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-07-17,2
33032,37.29135502603319,126.98816672854953,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-07-21,1
33968,37.27376569641961,127.06644758330452,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2013,2013-05-21,1
30527,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2018,2018-06-18,1
31159,37.25496111128066,127.0090305550893,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-09-21,2
31377,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2017,2017-07-14,1
31380,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-05-20,2
30530,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-11-04,2
29463,37.30000736283914,127.02905085139805,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-11-04,5
30991,37.25496111128066,127.0090305550893,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2016,2016-07-18,1
30523,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2017,2017-09-18,1
32286,37.30155555552906,126.98449999994702,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2016,2016-04-11,1
29461,37.30000736283914,127.02905085139805,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-07-15,5
30521,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2015,2015-08-31,1
30520,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2015,2015-05-28,1
30533,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-09-21,3
35403,37.300305555562176,126.94461111068725,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2018,2018-06-11,1
35734,37.300305555562176,126.94461111068725,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2014,2014-06-21,1
31381,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-07-15,10
31384,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-09-21,3
30528,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2018,2018-11-10,1
33159,37.31177777820163,126.98202777756585,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2014,2014-07-14,1
32287,37.30155555552906,126.98449999994702,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-07-08,1
32815,37.322133245997954,126.97636831177607,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-10-12,1
29466,37.30000736283914,127.02905085139805,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-07-17,30
29455,37.30000736283914,127.02905085139805,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2017,2017-04-17,1
30529,37.28499999999999,127.01777777777778,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2019,2019-07-15,3
33429,37.22684418678284,127.02375976615483,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2020,2020-04-06,1
31378,37.265761111577355,127.01423888842267,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2018,2018-09-19,1
34512,37.270379123687746,127.0628014066484,넙적거머리과,조개넙적거머리,Alboglossiphonia lata,2018,2018-07-16,1
