분류명,조사연도,CO2,개체수
실지렁이과,2017,2017 - 412.2,16
실지렁이과,2018,2018 - 415.2,6
실지렁이과,2019,2019 - 417.9,9
실지렁이과,2020,2020 - 420.4,25
왕잠자리과,2015,2015 - 407,10
왕잠자리과,2016,2016 - 409.9,8
왕잠자리과,2017,2017 - 412.2,5
왕잠자리과,2018,2018 - 415.2,11
왕잠자리과,2019,2019 - 417.9,6
왕잠자리과,2020,2020 - 420.4,7
왼돌이물달팽이과,2015,2015 - 407,187
왼돌이물달팽이과,2016,2016 - 409.9,53
왼돌이물달팽이과,2017,2017 - 412.2,62
왼돌이물달팽이과,2018,2018 - 415.2,66
왼돌이물달팽이과,2019,2019 - 417.9,346
왼돌이물달팽이과,2020,2020 - 420.4,204
잠자리과,2015,2015 - 407,76
잠자리과,2016,2016 - 409.9,86
잠자리과,2017,2017 - 412.2,59
잠자리과,2018,2018 - 415.2,60
잠자리과,2019,2019 - 417.9,62
잠자리과,2020,2020 - 420.4,78
장구애비과,2015,2015 - 407,11
장구애비과,2016,2016 - 409.9,16
장구애비과,2017,2017 - 412.2,9
장구애비과,2018,2018 - 415.2,18
장구애비과,2019,2019 - 417.9,12
장구애비과,2020,2020 - 420.4,14
재첩과,2015,2015 - 407,6
재첩과,2016,2016 - 409.9,20
재첩과,2017,2017 - 412.2,26
재첩과,2018,2018 - 415.2,25
재첩과,2019,2019 - 417.9,64
재첩과,2020,2020 - 420.4,150
줄날도래과,2015,2015 - 407,44
줄날도래과,2016,2016 - 409.9,35
줄날도래과,2017,2017 - 412.2,48
줄날도래과,2018,2018 - 415.2,37
줄날도래과,2019,2019 - 417.9,908
줄날도래과,2020,2020 - 420.4,1278
징거미새우과,2015,2015 - 407,17
징거미새우과,2016,2016 - 409.9,36
징거미새우과,2017,2017 - 412.2,69
징거미새우과,2018,2018 - 415.2,60
징거미새우과,2019,2019 - 417.9,39
징거미새우과,2020,2020 - 420.4,105
플라나리아과,2015,2015 - 407,16
플라나리아과,2016,2016 - 409.9,22
플라나리아과,2017,2017 - 412.2,22
플라나리아과,2018,2018 - 415.2,18
플라나리아과,2019,2019 - 417.9,55
플라나리아과,2020,2020 - 420.4,250
