,분류명,조사연도,CO2,개체수,pH,BOD,SS,T-N,T-P,TOC
75,물달팽이과,2018,415.2,141,7.9,4.4,11.2,4.5,0.092,3.6
76,물달팽이과,2019,417.9,333,8.4,4.1,15.2,5.8,0.155,4.8
77,물달팽이과,2020,420.4,266,8.2,5.1,18.8,5.5,0.104,7.4
78,물땡땡이과,2015,407.0,8,7.8,2.3,3.6,9.906,0.099,4.74
79,물땡땡이과,2016,409.9,23,7.7,2.1,7.5,7.8,0.097,4.6
80,물땡땡이과,2017,412.2,12,7.8,3.7,7.4,5.0,0.072,3.3
81,물땡땡이과,2018,415.2,11,7.9,4.4,11.2,4.5,0.092,3.6
82,물땡땡이과,2019,417.9,8,8.4,4.1,15.2,5.8,0.155,4.8
83,물땡땡이과,2020,420.4,13,8.2,5.1,18.8,5.5,0.104,7.4
84,물방개과,2015,407.0,23,7.8,2.3,3.6,9.906,0.099,4.74
85,물방개과,2016,409.9,11,7.7,2.1,7.5,7.8,0.097,4.6
86,물방개과,2017,412.2,17,7.8,3.7,7.4,5.0,0.072,3.3
87,물방개과,2018,415.2,20,7.9,4.4,11.2,4.5,0.092,3.6
88,물방개과,2019,417.9,14,8.4,4.1,15.2,5.8,0.155,4.8
89,물방개과,2020,420.4,17,8.2,5.1,18.8,5.5,0.104,7.4
90,물벌레과,2015,407.0,2,7.8,2.3,3.6,9.906,0.099,4.74
91,물벌레과,2016,409.9,6,7.7,2.1,7.5,7.8,0.097,4.6
92,물벌레과,2017,412.2,13,7.8,3.7,7.4,5.0,0.072,3.3
93,물벌레과,2018,415.2,14,7.9,4.4,11.2,4.5,0.092,3.6
94,물벌레과,2019,417.9,9,8.4,4.1,15.2,5.8,0.155,4.8
95,물벌레과,2020,420.4,209,8.2,5.1,18.8,5.5,0.104,7.4
96,물잠자리과,2015,407.0,10,7.8,2.3,3.6,9.906,0.099,4.74
97,물잠자리과,2016,409.9,20,7.7,2.1,7.5,7.8,0.097,4.6
98,물잠자리과,2017,412.2,8,7.8,3.7,7.4,5.0,0.072,3.3
99,물잠자리과,2018,415.2,13,7.9,4.4,11.2,4.5,0.092,3.6
100,물잠자리과,2019,417.9,25,8.4,4.1,15.2,5.8,0.155,4.8
101,물잠자리과,2020,420.4,44,8.2,5.1,18.8,5.5,0.104,7.4
102,물장군과,2015,407.0,37,7.8,2.3,3.6,9.906,0.099,4.74
103,물장군과,2016,409.9,27,7.7,2.1,7.5,7.8,0.097,4.6
104,물장군과,2017,412.2,39,7.8,3.7,7.4,5.0,0.072,3.3
105,물장군과,2018,415.2,36,7.9,4.4,11.2,4.5,0.092,3.6
106,물장군과,2019,417.9,33,8.4,4.1,15.2,5.8,0.155,4.8
107,물장군과,2020,420.4,48,8.2,5.1,18.8,5.5,0.104,7.4
108,방울실잠자리과,2015,407.0,57,7.8,2.3,3.6,9.906,0.099,4.74
109,방울실잠자리과,2016,409.9,127,7.7,2.1,7.5,7.8,0.097,4.6
110,방울실잠자리과,2017,412.2,85,7.8,3.7,7.4,5.0,0.072,3.3
111,방울실잠자리과,2018,415.2,116,7.9,4.4,11.2,4.5,0.092,3.6
112,방울실잠자리과,2019,417.9,75,8.4,4.1,15.2,5.8,0.155,4.8
113,방울실잠자리과,2020,420.4,88,8.2,5.1,18.8,5.5,0.104,7.4
114,뾰족쨈물우렁이과,2015,407.0,9,7.8,2.3,3.6,9.906,0.099,4.74
115,뾰족쨈물우렁이과,2016,409.9,13,7.7,2.1,7.5,7.8,0.097,4.6
116,뾰족쨈물우렁이과,2017,412.2,25,7.8,3.7,7.4,5.0,0.072,3.3
117,뾰족쨈물우렁이과,2018,415.2,28,7.9,4.4,11.2,4.5,0.092,3.6
118,뾰족쨈물우렁이과,2019,417.9,38,8.4,4.1,15.2,5.8,0.155,4.8
119,뾰족쨈물우렁이과,2020,420.4,33,8.2,5.1,18.8,5.5,0.104,7.4
120,사과우렁이과,2015,407.0,3,7.8,2.3,3.6,9.906,0.099,4.74
121,사과우렁이과,2016,409.9,3,7.7,2.1,7.5,7.8,0.097,4.6
122,사과우렁이과,2017,412.2,11,7.8,3.7,7.4,5.0,0.072,3.3
123,사과우렁이과,2018,415.2,4,7.9,4.4,11.2,4.5,0.092,3.6
124,사과우렁이과,2019,417.9,7,8.4,4.1,15.2,5.8,0.155,4.8
125,사과우렁이과,2020,420.4,25,8.2,5.1,18.8,5.5,0.104,7.4
126,새뱅이과,2015,407.0,1,7.8,2.3,3.6,9.906,0.099,4.74
127,새뱅이과,2016,409.9,12,7.7,2.1,7.5,7.8,0.097,4.6
128,새뱅이과,2017,412.2,14,7.8,3.7,7.4,5.0,0.072,3.3
129,새뱅이과,2018,415.2,21,7.9,4.4,11.2,4.5,0.092,3.6
130,새뱅이과,2019,417.9,32,8.4,4.1,15.2,5.8,0.155,4.8
131,새뱅이과,2020,420.4,22,8.2,5.1,18.8,5.5,0.104,7.4
132,석패과,2015,407.0,3,7.8,2.3,3.6,9.906,0.099,4.74
133,석패과,2016,409.9,10,7.7,2.1,7.5,7.8,0.097,4.6
