분류명,조사연도,연 평균기온,개체수
실지렁이과,2017,2017 - 12.6,16
실지렁이과,2018,2018 - 12.7,6
실지렁이과,2020,2020 - 12.9,25
실지렁이과,2019,2019 - 13.2,9
실지렁이과,2015,2015 - 13.5,7
실지렁이과,2016,2016 - 13.6,7
왕잠자리과,2017,2017 - 12.6,5
왕잠자리과,2018,2018 - 12.7,11
왕잠자리과,2020,2020 - 12.9,7
왕잠자리과,2019,2019 - 13.2,6
왕잠자리과,2015,2015 - 13.5,10
왕잠자리과,2016,2016 - 13.6,8
왼돌이물달팽이과,2017,2017 - 12.6,62
왼돌이물달팽이과,2018,2018 - 12.7,66
왼돌이물달팽이과,2020,2020 - 12.9,204
왼돌이물달팽이과,2019,2019 - 13.2,346
왼돌이물달팽이과,2015,2015 - 13.5,187
왼돌이물달팽이과,2016,2016 - 13.6,53
잠자리과,2017,2017 - 12.6,59
잠자리과,2018,2018 - 12.7,60
잠자리과,2020,2020 - 12.9,78
잠자리과,2019,2019 - 13.2,62
잠자리과,2015,2015 - 13.5,76
잠자리과,2016,2016 - 13.6,86
장구애비과,2017,2017 - 12.6,9
장구애비과,2018,2018 - 12.7,18
장구애비과,2020,2020 - 12.9,14
장구애비과,2019,2019 - 13.2,12
장구애비과,2015,2015 - 13.5,11
장구애비과,2016,2016 - 13.6,16
재첩과,2017,2017 - 12.6,26
재첩과,2018,2018 - 12.7,25
재첩과,2020,2020 - 12.9,150
재첩과,2019,2019 - 13.2,64
재첩과,2015,2015 - 13.5,6
재첩과,2016,2016 - 13.6,20
줄날도래과,2017,2017 - 12.6,48
줄날도래과,2018,2018 - 12.7,37
줄날도래과,2020,2020 - 12.9,1278
줄날도래과,2019,2019 - 13.2,908
줄날도래과,2015,2015 - 13.5,44
줄날도래과,2016,2016 - 13.6,35
징거미새우과,2017,2017 - 12.6,69
징거미새우과,2018,2018 - 12.7,60
징거미새우과,2020,2020 - 12.9,105
징거미새우과,2019,2019 - 13.2,39
징거미새우과,2015,2015 - 13.5,17
징거미새우과,2016,2016 - 13.6,36
플라나리아과,2017,2017 - 12.6,22
플라나리아과,2018,2018 - 12.7,18
플라나리아과,2020,2020 - 12.9,250
플라나리아과,2019,2019 - 13.2,55
플라나리아과,2015,2015 - 13.5,16
플라나리아과,2016,2016 - 13.6,22
