분류명,2015,2016,2017,2018,2019,2020
모기과,0.0221606648199446,0.006944444444444444,0.008481110254433308,0.012381646030589949,0.004347826086956522,0.0004020100502512563
왕잠자리과,0.006925207756232687,0.005555555555555556,0.0038550501156515036,0.008011653313911144,0.0013729977116704805,0.001407035175879397
물방개과,0.01592797783933518,0.007638888888888889,0.013107170393215111,0.014566642388929352,0.003203661327231121,0.003417085427135678
넙적거머리과,0.018005540166204988,0.02013888888888889,0.017733230531996914,0.010196649672250545,0.014416475972540047,0.018894472361809043
석패과,0.002077562326869806,0.006944444444444444,0.04394757131842714,0.06554989075018208,0.007322654462242563,0.01185929648241206
물장군과,0.025623268698060944,0.01875,0.030069390902081727,0.026219956300072834,0.007551487414187643,0.009648241206030151
소금쟁이과,0.02008310249307479,0.021527777777777778,0.023901310717039322,0.018936635105608158,0.020366132723112128,0.03919597989949749
물벌레과,0.0013850415512465374,0.004166666666666667,0.010023130300693909,0.010196649672250545,0.002059496567505721,0.04201005025125628
물잠자리과,0.006925207756232687,0.013888888888888888,0.006168080185042405,0.009468317552804079,0.005720823798627002,0.008844221105527638
물달팽이과,0.08587257617728532,0.08472222222222223,0.08635312259059368,0.10269482884195193,0.07620137299771167,0.053467336683417084
꼬마하루살이과,0.11911357340720222,0.17152777777777778,0.08018504240555127,0.08958485069191552,0.0734553775743707,0.051457286432160805
줄날도래과,0.030470914127423823,0.024305555555555556,0.03700848111025443,0.026948288419519302,0.20778032036613273,0.2568844221105528
깔따구과,0.04085872576177285,0.034027777777777775,0.05011565150346955,0.043699927166788055,0.13180778032036614,0.0814070351758794
논우렁이과,0.008310249307479225,0.003472222222222222,0.01233616037008481,0.0065549890750182084,0.002059496567505721,0.008040201005025126
방울실잠자리과,0.039473684210526314,0.08819444444444445,0.06553585196607556,0.08448652585579024,0.017162471395881007,0.017688442211055276
재첩과,0.004155124653739612,0.013888888888888888,0.020046260601387818,0.01820830298616169,0.014645308924485127,0.03015075376884422
잠자리과,0.05263157894736842,0.059722222222222225,0.04548959136468774,0.043699927166788055,0.014187643020594966,0.015678391959798994
플라나리아과,0.0110803324099723,0.015277777777777777,0.016962220508866616,0.013109978150036417,0.012585812356979404,0.05025125628140704
물땡땡이과,0.00554016620498615,0.01597222222222222,0.009252120277563608,0.008011653313911144,0.0018306636155606408,0.0026130653266331657
돌거머리과,0.013850415512465374,0.01875,0.02313030069390902,0.01747997086671522,0.031121281464530894,0.01507537688442211
또아리물달팽이과,0.01662049861495845,0.01875,0.026214340786430222,0.016751638747268753,0.033409610983981694,0.014271356783919598
거머리과,0.028393351800554016,0.011805555555555555,0.007710100231303007,0.007283321194464676,0.0006864988558352403,0.002814070351758794
실잠자리과,0.19321329639889195,0.18680555555555556,0.15111796453353893,0.15440640932265112,0.0540045766590389,0.048844221105527635
장구애비과,0.007617728531855956,0.011111111111111112,0.006939090208172706,0.013109978150036417,0.002745995423340961,0.002814070351758794
네모집날도래과,0.007617728531855956,0.008333333333333333,0.0007710100231303007,0.0014566642388929353,0.002059496567505721,0.005829145728643216
나비날도래과,0.004847645429362881,0.0006944444444444445,0.0007710100231303007,0.0029133284777858705,0.0002288329519450801,0.0004020100502512563
실지렁이과,0.004847645429362881,0.004861111111111111,0.01233616037008481,0.004369992716678805,0.002059496567505721,0.005025125628140704
징거미새우과,0.011772853185595568,0.025,0.05319969159599075,0.043699927166788055,0.008924485125858124,0.021105527638190954
새뱅이과,0.0006925207756232687,0.008333333333333333,0.01079414032382421,0.01529497450837582,0.007322654462242563,0.004422110552763819
뾰족쨈물우렁이과,0.006232686980609419,0.009027777777777777,0.01927525057825752,0.02039329934450109,0.008695652173913044,0.0066331658291457285
왼돌이물달팽이과,0.12950138504155126,0.03680555555555556,0.047802621434078645,0.04806991988346686,0.07917620137299772,0.04100502512562814
사과우렁이과,0.002077562326869806,0.0020833333333333333,0.008481110254433308,0.0029133284777858705,0.0016018306636155606,0.005025125628140704
다슬기과,0.031163434903047092,0.027083333333333334,0.03238242097147263,0.024763292061179897,0.14668192219679635,0.1185929648241206
각다귀과,0.024930747922437674,0.013888888888888888,0.018504240555127217,0.014566642388929352,0.003203661327231121,0.004824120603015076
