name,PH,SS,T-N,T-P,CHL-A,date,COD,TOC,DO,EC (MS/CM),NH3-N (MG/L),수온
신대저수지,7.9,3.2,1.886,0.01,11.5,2019-07-01,6.8,3.5,,,,
신대저수지,9.0,5.6,0.562,0.043,25.4,2019-08-01,6.8,4.9,,,,
신대저수지,7.6,5.3,1.867,0.034,10.2,2019-09-01,4.4,3.4,,,,
신대저수지,7.9,7.7,2.261,0.01,25.2,2019-10-01,6.2,3.1,,,,
신대저수지,7.6,7.3,1.421,0.024,20.3,2019-11-01,4.2,2.7,,,,
신대저수지,7.8,1.7,1.483,0.024,18.3,2019-12-01,3.8,2.6,,,,
서호저수지,7.5,24.0,7.17,0.113,37.6,2019-01-01,9.9,7.6,,,,
서호저수지,8.2,11.0,6.096,0.067,44.3,2019-02-01,6.6,5.2,,,,
서호저수지,9.0,15.0,5.184,0.077,63.5,2019-03-01,9.6,6.8,,,,
서호저수지,8.5,7.0,7.416,0.144,205.4,2019-04-01,13.0,6.8,,,,
서호저수지,9.6,3.6,5.448,0.158,249.1,2019-05-01,8.8,5.2,,,,
서호저수지,7.4,16.4,5.16,0.125,70.5,2019-06-01,9.4,5.6,,,,
서호저수지,8.7,14.0,4.594,0.101,190.4,2019-07-01,11.2,5.7,,,,
서호저수지,9.9,50.0,6.144,0.274,290.2,2019-08-01,28.0,9.6,,,,
서호저수지,9.5,80.0,13.752,0.576,426.5,2019-09-01,33.6,8.2,,,,
서호저수지,8.0,27.7,10.536,0.158,137.4,2019-10-01,9.4,4.6,,,,
서호저수지,9.4,26.7,7.56,0.24,145.9,2019-11-01,11.6,4.5,,,,
서호저수지,8.8,16.7,5.352,0.072,162.6,2019-12-01,10.4,4.0,,,,
하광교소류지,6.8,0.8,1.098,0.014,4.2,2019-01-01,4.0,2.1,11.9,0.078,0.132,1.6
하광교소류지,7.75,2.7,0.9486,0.0336,9.3656,2019-02-01,3.8,1.933,10.6,0.0515,0.078,10.7
하광교소류지,7.81,1.749999999999981,0.9382,0.007,8.1,2019-03-01,14.0,2.38964,12.32,0.0505,0.025,8.67
하광교소류지,7.18,1.4000000000000123,0.8616,0.0115,4.159000000000001,2019-04-01,11.0,2.612,9.34,0.747,N.D.,12.2
하광교소류지,7.98,8.8,0.78,0.019,4.4,2019-05-01,8.0,3.9,6.16,0.06912,N.D.,20.3
하광교소류지,8.34,1.7142857142857235,0.7696,0.0129,7.6,2019-06-01,4.0,3.6623,8.12,0.1462,0.022,22.7
하광교소류지,7.7,2.2,0.5106,0.0232,10.9,2019-07-01,5.0,1.937,6.0,0.06,0.05,23.9
하광교소류지,7.1,1.2000000000000066,0.8314,0.0162,0.8,2019-08-01,9.0,1.7479999999999998,6.9,0.0506,0.01,25.1
하광교소류지,7.05,4.1999999999999815,0.93,0.0146,16.4,2019-09-01,2.0,2.407,7.99,0.0447,N.D.,21.1
하광교소류지,7.49,5.199999999999982,0.3525,0.0175,9.9,2019-10-01,9.025000000000002,3.0103,7.89,0.473,0.025,20.3
하광교소류지,7.13,6.6,0.63,0.011,17.9,2019-11-01,7.979999999999999,3.9,7.9,0.6,0.23,8.1
하광교소류지,7.08,3.799999999999998,0.5902,0.0103,14.8,2019-12-01,13.775000000000002,3.4329,6.16,0.0594,0.225,6.5
일월저수지,8.8,11.8,3.013,0.084,43.3,2019-01-01,13.2,6.9,15.3,0.456,0.033,3.2
일월저수지,7.64,8.799999999999974,1.848,0.0052,36.543,2019-02-01,20.4,8.8656,11.27,0.552,0.286,10.4
일월저수지,7.55,10.000000000000009,1.5045,0.042,59.2,2019-03-01,17.0,9.362,12.63,0.487,0.152,12.01
일월저수지,8.51,12.50000000000001,0.781,0.0532,120.728,2019-04-01,41.0,11.96,13.1,0.464,0.013,16.0
일월저수지,9.8,26.0,1.02,0.079,126.9,2019-05-01,46.0,14.2,9.02,0.5129,0.019,23.2
일월저수지,9.6,8.4,4.503,0.0328,44.2,2019-06-01,17.0,8.703,9.86,0.468,0.075,26.2
일월저수지,8.1,11.6,3.988,0.048,79.2,2019-07-01,11.0,5.65,6.92,0.489,0.426,24.5
일월저수지,6.9,7.599999999999996,0.6427,0.0748,76.0,2019-08-01,19.0,5.6776,7.42,0.1233,0.086,28.8
일월저수지,8.36,6.399999999999989,0.77,0.0204,46.4,2019-09-01,19.0,4.5,8.33,0.1811,N.D.,24.4
일월저수지,8.23,15.666666666666652,0.5468,0.0414,91.4,2019-10-01,16.815000000000005,7.937,10.21,0.355,0.033,18.5
일월저수지,7.6,19.6,1.45,0.053,90.1,2019-11-01,23.94,8.0,9.6,0.326,0.45,11.8
일월저수지,6.83,18.500000000000043,1.6148,0.032,85.0,2019-12-01,19.285000000000004,7.166,5.91,0.345,0.067,6.6
만석거저수지,7.8,4.6,1.346,0.042,17.4,2019-01-01,6.0,2.8,13.2,0.278,0.068,2.9
만석거저수지,7.71,8.8,1.2456,0.0305,19.208,2019-02-01,8.5,4.133,9.12,0.295,0.123,12.7
만석거저수지,8.22,11.999999999999996,0.8605,0.027,62.6,2019-03-01,12.3,4.386,11.57,0.307,0.038,13.01
만석거저수지,8.4,7.666666666666702,0.5553,0.0375,39.35,2019-04-01,17.0,4.9,10.15,0.304,0.013,16.3
만석거저수지,10.5,10.3,0.49,0.047,54.6,2019-05-01,26.0,6.8,8.97,0.3492,0.024,22.7
만석거저수지,8.37,10.500000000000025,0.7718,0.0444,42.1,2019-06-01,27.0,7.0201,8.74,0.282,0.061,24.9
만석거저수지,8.2,13.6,0.5887,0.055,56.0,2019-07-01,12.0,4.483,7.3,0.274,0.044,26.6
만석거저수지,7.5,10.000000000000009,1.1179,0.047,40.0,2019-08-01,12.0,4.397,8.22,0.1328,0.026,30.7
만석거저수지,8.09,14.333333333333377,0.99,0.0611,120.7,2019-09-01,23.0,5.997,9.49,0.1877,N.D.,24.3
만석거저수지,8.83,11.000000000000036,0.7633,0.0426,110.1,2019-10-01,16.055000000000007,7.624,11.71,0.208,0.057,20.1
만석거저수지,7.55,10.8,0.69,0.045,54.7,2019-11-01,20.14,6.9,9.8,0.257,0.22,14.2
만석거저수지,8.35,7.333333333333312,0.8985,0.0353,49.6,2019-12-01,20.235000000000007,6.331300000000001,5.25,0.273,0.075,6.9
원천저수지,7.8,6.9,1.009,0.025,7.2,2019-01-01,4.8,2.4,10.3,0.506,0.079,2.9
원천저수지,7.82,3.2,0.7612,0.0631,6.669999999999999,2019-02-01,5.5,2.9001,11.47,0.53,0.032,9.3
원천저수지,8.01,4.333333333333365,0.6251,0.016,9.4,2019-03-01,8.1,4.097,13.24,0.54,0.007,10.62
원천저수지,7.98,4.666666666666662,0.39,0.0134,11.524799999999995,2019-04-01,16.0,4.3108,10.74,0.538,N.D.,16.5
원천저수지,7.94,5.4,0.32,0.026,9.6,2019-05-01,22.0,5.5,6.71,0.5574,N.D.,24.2
원천저수지,8.49,4.000000000000004,0.3529,0.0123,12.7,2019-06-01,13.0,3.587,7.4,0.642,0.02,25.6
원천저수지,8.4,3.4,0.2783,0.0435,19.2,2019-07-01,3.0,2.843,5.94,0.22,0.03,23.2
원천저수지,8.1,4.799999999999999,0.6636,0.0154,15.2,2019-08-01,11.0,2.097,7.48,0.1632,0.037,29.5
원천저수지,8.67,2.799999999999997,0.55,0.0233,11.9,2019-09-01,11.0,2.9956,7.55,0.262,N.D.,24.3
원천저수지,8.34,8.000000000000007,0.1306,0.0235,18.7,2019-10-01,6.554999999999995,3.1157,9.07,0.331,0.04,21.1
원천저수지,6.88,13.0,0.54,0.022,37.3,2019-11-01,6.37,4.5,8.9,0.389,0.15,11.5
원천저수지,6.98,7.999999999999998,0.51,0.02,29.8,2019-12-01,7.790000000000004,3.32,5.06,0.398,0.114,9.8
서호저수지(유입),7.6,9.4,7.162,0.079,22.0,2019-01-01,8.0,4.7,12.1,0.565,0.308,5.3
서호저수지(유입),7.71,13.50000000000004,4.0324,0.0348,17.79333333333333,2019-02-01,15.5,5.74,8.25,0.502,0.137,13.6
서호저수지(유입),8.01,4.666666666666708,7.923,0.033,8.9,2019-03-01,12.0,5.8055,10.79,0.489,0.059,9.56
서호저수지(유입),9.42,5.599999999999994,8.648,0.0596,10.43,2019-04-01,19.0,5.614,9.62,0.622,0.084,17.0
서호저수지(유입),9.59,5.2,7.82,0.088,12.6,2019-05-01,35.0,5.7,7.01,0.6708,0.203,21.5
서호저수지(유입),6.75,8.800000000000002,8.95,0.0537,9.6,2019-06-01,7.0,5.1289,6.53,0.564,0.239,24.1
서호저수지(유입),7.9,5.6,7.648000000000001,0.0204,10.6,2019-07-01,11.0,3.7878,6.2,0.605,0.615,25.4
서호저수지(유입),7.3,3.999999999999996,5.305999999999999,0.0754,6.9,2019-08-01,9.0,2.581,5.7,0.454,0.095,26.7
서호저수지(유입),7.96,10.800000000000004,5.868,0.0993,5.7,2019-09-01,13.0,2.621,6.43,0.498,0.021,23.1
서호저수지(유입),7.45,9.000000000000007,7.995999999999999,0.0692,4.6,2019-10-01,9.405,4.4346,7.68,0.527,0.181,21.0
서호저수지(유입),7.5,2.0,8.13,0.059,4.0,2019-11-01,13.965000000000009,4.7,8.1,0.574,0.09,15.7
서호저수지(유입),7.41,2.6666666666666505,8.334,0.0395,2.6,2019-12-01,9.975000000000003,4.696,4.25,0.595,0.168,11.2
신대저수지,7.6,4.1,1.529,0.027,5.0,2019-01-01,5.2,2.6,10.9,0.507,0.153,1.5
신대저수지,7.44,3.6,1.3426,0.0487,4.450000000000001,2019-02-01,4.8,1.91,8.74,0.626,0.122,10.4
신대저수지,8.02,3.333333333333336,1.1928,0.012,3.3,2019-03-01,6.7,3.276,11.02,0.607,0.106,8.54
신대저수지,7.83,1.799999999999996,1.0326,0.0118,3.3374999999999995,2019-04-01,12.0,3.77906,7.44,0.485,0.01,15.2
신대저수지,7.26,5.2,0.83,0.034,6.8,2019-05-01,9.0,4.5,8.35,0.562,0.032,25.2
신대저수지,8.29,1.600000000000018,1.1008,0.0154,3.4,2019-06-01,5.0,3.712,7.83,0.494,0.105,25.7
신대저수지,8.3,4.2,0.6129,0.0344,22.8,2019-07-01,6.0,3.044,6.6,0.305,0.057,23.5
신대저수지,7.7,15.600000000000003,0.4238,0.0226,89.8,2019-08-01,18.0,4.98,8.76,0.42,0.032,28.2
신대저수지,8.88,7.599999999999996,1.22,0.0308,21.5,2019-09-01,17.0,4.1062,7.4,0.258,N.D.,24.0
신대저수지,8.16,8.99999999999998,0.4894,0.0254,42.8,2019-10-01,9.595000000000006,4.4510000000000005,8.6,0.336,0.113,20.1
신대저수지,8.1,10.4,1.15,0.023,16.8,2019-11-01,12.16,4.7,8.5,0.388,0.27,13.7
신대저수지,6.85,7.666666666666702,1.2311,0.0192,15.5,2019-12-01,8.930000000000003,3.957,5.13,0.415,0.087,13.4
서호저수지,7.7,11.4,6.762,0.08,51.7,2019-01-01,7.8,4.6,12.2,0.56,0.371,4.2
서호저수지,7.66,13.999999999999986,6.394,0.0681,48.92,2019-02-01,17.4,6.918,9.42,0.573,0.813,13.0
서호저수지,7.36,16.000000000000043,6.205,0.055,111.4,2019-03-01,13.3,6.5421000000000005,11.25,0.568,0.042,10.77
서호저수지,9.99,17.500000000000014,6.409000000000001,0.0675,300.71200000000005,2019-04-01,40.0,13.31,18.7,0.541,0.018,16.5
서호저수지,11.67,18.0,5.99,0.089,113.4,2019-05-01,38.0,10.3,14.8,0.6312,0.039,22.7
서호저수지,7.78,15.5,6.228,0.0489,64.3,2019-06-01,26.0,10.9495,10.67,0.461,0.054,25.4
서호저수지,9.0,14.4,4.495,0.0201,157.5,2019-07-01,25.0,8.758,8.3,0.423,0.202,26.0
서호저수지,7.4,22.99999999999996,5.196,0.1037,261.3,2019-08-01,29.0,11.155,6.03,0.345,0.914,31.3
서호저수지,8.09,18.666666666666693,4.492,0.0679,142.4,2019-09-01,14.0,5.054,10.12,0.1978,0.011,23.7
서호저수지,9.46,26.000000000000007,5.94,0.0854,170.0,2019-10-01,34.010000000000005,10.6769,10.3,0.451,0.056,20.5
서호저수지,8.8,22.8,6.71,0.07,151.3,2019-11-01,26.980000000000008,9.9,11.09,0.543,0.09,13.0
서호저수지,7.58,17.499999999999947,6.3105,0.052,125.6,2019-12-01,19.855000000000008,8.085,6.61,0.539,0.072,6.8
