한글과명,한글보통명,조사연도,개체수
잉어과,붕어,2015,1
잉어과,붕어,2014,2
잉어과,붕어,2015,1
잉어과,붕어,2016,1
잉어과,붕어,2020,2
잉어과,붕어,2016,20
잉어과,붕어,2017,1
잉어과,붕어,2018,1
잉어과,붕어,2019,2
잉어과,붕어,2019,1
잉어과,붕어,2009,2
잉어과,붕어,2019,35
잉어과,붕어,2014,1
잉어과,붕어,2017,1
잉어과,붕어,2014,1
잉어과,붕어,2019,10
잉어과,붕어,2017,1
잉어과,붕어,2017,1
잉어과,붕어,2013,4
잉어과,붕어,2015,11
잉어과,붕어,2015,3
잉어과,붕어,2019,3
잉어과,붕어,2011,1
잉어과,붕어,2011,1
잉어과,붕어,2016,4
잉어과,붕어,2017,1
잉어과,붕어,2016,23
잉어과,붕어,2006,1
잉어과,붕어,2017,1
잉어과,붕어,2015,4
잉어과,붕어,2014,1
잉어과,붕어,2008,1
잉어과,붕어,2016,1
잉어과,붕어,2014,1
잉어과,붕어,2020,3
잉어과,붕어,2014,5
잉어과,붕어,2016,3
잉어과,붕어,2015,5
잉어과,붕어,2018,3
잉어과,붕어,2014,3
잉어과,붕어,2014,1
잉어과,붕어,2010,1
잉어과,붕어,2020,1
잉어과,붕어,2020,2
잉어과,붕어,2017,2
잉어과,붕어,2020,1
잉어과,붕어,2015,1
잉어과,붕어,2019,3
잉어과,붕어,2016,1
잉어과,붕어,2014,10
잉어과,붕어,2016,16
잉어과,붕어,2017,1
잉어과,붕어,2019,40
잉어과,붕어,2016,1
잉어과,붕어,2015,1
잉어과,붕어,2015,2
잉어과,붕어,2017,1
잉어과,붕어,2016,1
잉어과,붕어,2017,1
잉어과,붕어,2015,5
잉어과,붕어,2014,4
잉어과,붕어,2015,9
잉어과,붕어,2019,3
잉어과,붕어,2020,20
잉어과,붕어,2014,1
잉어과,붕어,2016,1
잉어과,붕어,2015,59
잉어과,붕어,2018,9
잉어과,붕어,2016,3
잉어과,붕어,2015,4
잉어과,붕어,2020,3
잉어과,붕어,2016,1
잉어과,붕어,2016,2
잉어과,붕어,2018,1
잉어과,붕어,2013,2
잉어과,붕어,2015,4
잉어과,붕어,2017,1
잉어과,붕어,2016,2
잉어과,붕어,2018,1
잉어과,붕어,2015,9
잉어과,붕어,2018,1
잉어과,붕어,2020,10
잉어과,붕어,2010,8
잉어과,붕어,2015,1
잉어과,붕어,2016,2
잉어과,붕어,2012,1
잉어과,붕어,2015,30
잉어과,붕어,2015,1
잉어과,붕어,2010,10
잉어과,붕어,2017,1
잉어과,붕어,2016,7
잉어과,붕어,2017,1
잉어과,붕어,2017,3
잉어과,붕어,2013,2
잉어과,붕어,2017,1
잉어과,붕어,2014,15
잉어과,붕어,2005,1
잉어과,붕어,2016,1
잉어과,붕어,2016,1
잉어과,붕어,2006,1
잉어과,붕어,2014,3
잉어과,붕어,2018,1
잉어과,붕어,2020,5
잉어과,붕어,2018,1
잉어과,붕어,2018,10
잉어과,붕어,2015,2
잉어과,붕어,2020,5
잉어과,붕어,2016,25
잉어과,붕어,2017,2
잉어과,붕어,2018,12
잉어과,붕어,2014,1
잉어과,붕어,2016,1
잉어과,붕어,2005,1
잉어과,붕어,2015,10
잉어과,붕어,2007,1
잉어과,붕어,2016,3
잉어과,붕어,2020,5
잉어과,붕어,2020,5
잉어과,붕어,2019,1
잉어과,붕어,2011,1
잉어과,붕어,2005,1
잉어과,붕어,2014,1
잉어과,붕어,2018,1
잉어과,붕어,2016,1
잉어과,붕어,2016,3
잉어과,붕어,2015,1
잉어과,붕어,2020,10
잉어과,붕어,2019,10
잉어과,붕어,2018,1
잉어과,붕어,2014,1
잉어과,붕어,2020,1
잉어과,붕어,2015,5
잉어과,붕어,2015,1
잉어과,붕어,2017,1
잉어과,붕어,2015,50
잉어과,붕어,2014,1
잉어과,붕어,2014,1
잉어과,붕어,2017,1
잉어과,붕어,2010,2
잉어과,붕어,2014,2
잉어과,떡붕어,2016,1
잉어과,떡붕어,2008,1
잉어과,떡붕어,2010,1
잉어과,떡붕어,2014,1
잉어과,떡붕어,2016,1
잉어과,떡붕어,2008,1
잉어과,떡붕어,2010,1
잉어과,떡붕어,2010,1
잉어과,떡붕어,2018,3
잉어과,떡붕어,2017,1
잉어과,떡붕어,2012,1
잉어과,떡붕어,2016,4
잉어과,떡붕어,2012,2
잉어과,떡붕어,2010,1
잉어과,떡붕어,2014,1
잉어과,떡붕어,2017,1
잉어과,떡붕어,2020,1
잉어과,떡붕어,2006,1
잉어과,떡붕어,2011,1
잉어과,떡붕어,2017,1
잉어과,떡붕어,2018,1
잉어과,떡붕어,2013,3
잉어과,떡붕어,2016,1
잉어과,떡붕어,2018,1
잉어과,떡붕어,2007,1
잉어과,떡붕어,2006,1
잉어과,떡붕어,2012,10
잉어과,떡붕어,2019,2
잉어과,떡붕어,2020,3
잉어과,떡붕어,2014,2
잉어과,떡붕어,2016,1
잉어과,떡붕어,2018,5
잉어과,떡붕어,2010,1
잉어과,떡붕어,2015,2
잉어과,떡붕어,2016,3
잉어과,떡붕어,2020,1
잉어과,떡붕어,2016,1
잉어과,떡붕어,2016,1
잉어과,떡붕어,2011,1
잉어과,떡붕어,2020,4
잉어과,떡붕어,2015,7
잉어과,떡붕어,2010,1
잉어과,떡붕어,2016,1
잉어과,떡붕어,2016,8
잉어과,떡붕어,2018,6
잉어과,떡붕어,2013,2
잉어과,떡붕어,2014,1
가물치과,가물치,2015,1
가물치과,가물치,2006,1
가물치과,가물치,2015,1
가물치과,가물치,2019,1
가물치과,가물치,2017,1
가물치과,가물치,2020,1
가물치과,가물치,2017,1
가물치과,가물치,2015,1
가물치과,가물치,2011,1
가물치과,가물치,2018,1
잉어과,잉어,2019,1
잉어과,잉어,2016,4
잉어과,잉어,2015,1
잉어과,잉어,2010,16
잉어과,잉어,2011,1
잉어과,잉어,2016,1
잉어과,잉어,2018,1
잉어과,잉어,2010,1
잉어과,잉어,2017,1
잉어과,잉어,2015,1
잉어과,잉어,2018,3
잉어과,잉어,2015,2
잉어과,잉어,2016,3
잉어과,잉어,2016,2
잉어과,잉어,2007,1
잉어과,잉어,2015,1
잉어과,잉어,2018,1
잉어과,잉어,2010,1
잉어과,잉어,2019,6
잉어과,잉어,2016,1
잉어과,잉어,2016,2
잉어과,잉어,2014,1
잉어과,잉어,2019,2
잉어과,잉어,2015,2
잉어과,잉어,2015,1
잉어과,잉어,2016,2
잉어과,잉어,2014,1
잉어과,잉어,2011,1
잉어과,잉어,2008,1
잉어과,잉어,2018,3
잉어과,잉어,2017,1
잉어과,잉어,2015,1
잉어과,잉어,2020,1
잉어과,잉어,2014,1
잉어과,잉어,2006,1
잉어과,잉어,2020,1
잉어과,잉어,2014,3
잉어과,잉어,2007,1
잉어과,잉어,2016,1
잉어과,잉어,2017,1
잉어과,잉어,2016,1
잉어과,잉어,2016,1
잉어과,잉어,2016,5
잉어과,잉어,2018,3
잉어과,잉어,2007,1
잉어과,잉어,2020,2
잉어과,잉어,2019,1
잉어과,잉어,2017,1
잉어과,잉어,2010,1
잉어과,잉어,2017,1
잉어과,잉어,2016,2
잉어과,잉어,2017,1
잉어과,잉어,2020,3
잉어과,잉어,2015,4
잉어과,잉어,2016,4
잉어과,잉어,2017,1
잉어과,잉어,2018,1
잉어과,잉어,2020,1
잉어과,잉어,2017,1
잉어과,잉어,2015,16
잉어과,잉어,2013,1
잉어과,잉어,2020,2
잉어과,잉어,2019,1
잉어과,잉어,2016,1
잉어과,잉어,2006,1
잉어과,잉어,2016,7
잉어과,잉어,2010,1
잉어과,잉어,2015,1
잉어과,잉어,2015,1
잉어과,잉어,2018,1
잉어과,잉어,2005,1
잉어과,잉어,2015,5
잉어과,잉어,2005,1
잉어과,잉어,2005,1
잉어과,잉어,2007,1
잉어과,잉어,2014,2
